Id,Source,Target,Type,Weight
1,tung,ghung,Directed,3
2,dung,ghung,Directed,1
3,triung,kiung,Directed,4
4,driung,kiung,Directed,1
5,cjung,njung,Directed,2
6,thriung,triung,Directed,1
7,zriung,kiung,Directed,1
8,siung,kiung,Directed,1
9,njung,jung,Directed,6
10,kiung,njung,Directed,8
11,jung,njung,Directed,2
12,iung,kiung,Directed,1
13,miung,triung,Directed,1
14,khiung,kiung,Directed,1
15,giung,kiung,Directed,1
16,biung,njung,Directed,1
17,piung,njung,Directed,1
18,phiung,khung,Directed,1
19,chjung,cjung,Directed,1
20,liung,triung,Directed,1
21,khung,ghung,Directed,2
22,kung,ghung,Directed,3
23,mung,ghung,Directed,1
24,lung,ghung,Directed,1
25,ghung,kung,Directed,13
26,zung,ghung,Directed,1
27,qung,ghung,Directed,1
28,chung,ghung,Directed,1
29,thung,ghung,Directed,1
30,cung,ghung,Directed,1
31,bung,ghung,Directed,1
32,hung,tung,Directed,1
33,ngung,tung,Directed,1
34,sung,kung,Directed,1
35,tuung,cuung,Directed,8
36,duung,tuung,Directed,1
37,zuung,cuung,Directed,1
38,nuung,tuung,Directed,1
39,kuung,tuung,Directed,1
40,ghuung,tuung,Directed,1
41,luung,tuung,Directed,1
42,cuung,tuung,Directed,4
43,suung,cuung,Directed,1
44,thuung,tuung,Directed,1
45,cjyung,jyung,Directed,2
46,lyung,cjyung,Directed,1
47,sjyung,jyung,Directed,1
48,zsyung,jyung,Directed,1
49,chjyung,jyung,Directed,1
50,jyung,pyung,Directed,19
51,pyung,jyung,Directed,2
52,hyung,jyung,Directed,2
53,ngyung,jyung,Directed,1
54,qyung,jyung,Directed,1
55,nryung,jyung,Directed,1
56,dryung,jyung,Directed,1
57,zyung,jyung,Directed,1
58,thryung,hyung,Directed,1
59,byung,jyung,Directed,1
60,phyung,jyung,Directed,1
61,cyung,jyung,Directed,1
62,njyung,jyung,Directed,1
63,gyung,jyung,Directed,1
64,zjyung,jyung,Directed,1
65,kyung,jyung,Directed,4
66,syung,kyung,Directed,1
67,chyung,kyung,Directed,1
68,khyung,kyung,Directed,1
69,krung,srung,Directed,18
70,mrung,krung,Directed,1
71,nrung,krung,Directed,1
72,chrung,krung,Directed,1
73,prung,krung,Directed,1
74,ghrung,krung,Directed,1
75,phrung,krung,Directed,1
76,lrung,krung,Directed,1
77,srung,krung,Directed,2
78,brung,krung,Directed,1
79,hrung,krung,Directed,1
80,qrung,krung,Directed,1
81,khrung,krung,Directed,1
82,drung,krung,Directed,1
83,thrung,krung,Directed,1
84,trung,krung,Directed,1
85,ngrung,krung,Directed,1
86,zrung,krung,Directed,1
87,cje,je,Directed,11
88,je,cje,Directed,9
89,ye,cje,Directed,12
90,kye,ye,Directed,1
91,hye,ye,Directed,1
92,qye,ye,Directed,1
93,mie,ye,Directed,1
94,hjye,kjye,Directed,1
95,drye,zjye,Directed,1
96,zjye,ye,Directed,6
97,lye,ye,Directed,1
98,chjye,zjye,Directed,2
99,phie,kie,Directed,1
100,pie,ye,Directed,1
101,zsye,ye,Directed,3
102,khye,ye,Directed,1
103,khjye,zsye,Directed,1
104,gie,kie,Directed,2
105,gje,cje,Directed,1
106,hie,kie,Directed,1
107,khie,gie,Directed,1
108,ngie,kie,Directed,6
109,bie,kie,Directed,1
110,zje,cje,Directed,1
111,nje,je,Directed,1
112,lie,cje,Directed,4
113,zie,je,Directed,1
114,cie,je,Directed,1
115,kie,ngie,Directed,6
116,pje,je,Directed,1
117,bje,cje,Directed,1
118,sje,cje,Directed,1
119,sie,je,Directed,1
120,chrie,ngie,Directed,1
121,thrie,trie,Directed,1
122,mje,je,Directed,1
123,chie,je,Directed,1
124,trie,lie,Directed,2
125,qie,lie,Directed,1
126,drie,lie,Directed,1
127,sye,ye,Directed,1
128,ngye,ye,Directed,2
129,hje,cje,Directed,1
130,srie,ngie,Directed,1
131,srye,zjye,Directed,1
132,njye,zjye,Directed,1
133,cye,kjye,Directed,1
134,kjye,zsye,Directed,3
135,chrye,ngye,Directed,1
136,trye,zjye,Directed,1
137,chje,cje,Directed,1
138,crie,ngie,Directed,1
139,phje,cje,Directed,1
140,jye,chjye,Directed,1
141,zrie,ngie,Directed,1
142,cjii,jii,Directed,8
143,jii,cjii,Directed,9
144,srii,jii,Directed,1
145,bjii,cjii,Directed,1
146,cii,jii,Directed,2
147,kii,jii,Directed,3
148,chjii,cjii,Directed,1
149,thrii,kii,Directed,1
150,chii,sii,Directed,1
151,zii,cii,Directed,1
152,nrii,jii,Directed,3
153,drii,nrii,Directed,1
154,sii,jii,Directed,2
155,sjii,cjii,Directed,1
156,gjii,cjii,Directed,1
157,qjii,cjii,Directed,1
158,lii,cjii,Directed,1
159,gjyi,tryi,Directed,1
160,tryi,cjyi,Directed,10
161,kyi,tryi,Directed,1
162,njyi,cjyi,Directed,1
163,sryi,tryi,Directed,1
164,jyi,tryi,Directed,3
165,lyi,tryi,Directed,1
166,syi,jyi,Directed,2
167,gyi,tryi,Directed,1
168,mii,pii,Directed,2
169,pii,mii,Directed,5
170,cjyi,tryi,Directed,5
171,zjyi,cjyi,Directed,1
172,yi,pii,Directed,1
173,bii,pii,Directed,1
174,phii,pii,Directed,1
175,hjyi,jyi,Directed,1
176,dryi,tryi,Directed,1
177,chjyi,cjyi,Directed,1
178,trii,nrii,Directed,1
179,phjii,jii,Directed,1
180,cyi,syi,Directed,1
181,khyi,tryi,Directed,1
182,ngii,kii,Directed,1
183,hjii,jii,Directed,1
184,cji,nji,Directed,14
185,ji,cji,Directed,1
186,zji,cji,Directed,1
187,ngi,gi,Directed,1
188,si,ci,Directed,1
189,chri,dri,Directed,1
190,gi,cji,Directed,5
191,sji,cji,Directed,1
192,nji,cji,Directed,2
193,khi,gi,Directed,1
194,ki,cji,Directed,1
