Id,Label,Initial,Rhyme,Deng_hu,Char_num
tung,【東】德紅17,端,上平01東,開一,17
dung,【同】徒紅45,定,上平01東,開一,45
triung,【中】陟弓4,知,上平01東,開三,4
driung,【蟲】直弓7,澄,上平01東,開三,7
cjung,【終】職戎15,章,上平01東,開三,15
thriung,【忡】敕中3,徹,上平01東,開三,3
zriung,【崇】鋤弓4,崇,上平01東,開三,4
siung,【嵩】息弓9,心,上平01東,開三,9
njung,【戎】如融9,日,上平01東,開三,9
kiung,【弓】居戎6,見,上平01東,開三,6
jung,【融】以戎3,以,上平01東,開三,3
iung,【雄】羽弓2,云,上平01東,開三,2
miung,【瞢】莫中6,明,上平01東,合三,6
khiung,【穹】去宮7,溪,上平01東,開三,7
giung,【窮】渠弓3,群,上平01東,開三,3
biung,【馮】房戎7,並,上平01東,合三,7
piung,【風】方戎7,幫,上平01東,合三,7
phiung,【豐】敷空8,滂,上平01東,合三,8
chjung,【充】昌終7,昌,上平01東,開三,7
liung,【隆】力中6,來,上平01東,開三,6
khung,【空】苦紅14,溪,上平01東,開一,14
kung,【公】古紅13,見,上平01東,開一,13
mung,【蒙】莫紅27,明,上平01東,開一,27
lung,【籠】盧紅27,來,上平01東,開一,27
ghung,【洪】戶公21,匣,上平01東,開一,21
zung,【叢】徂紅5,從,上平01東,開一,5
qung,【翁】烏紅8,影,上平01東,開一,8
chung,【怱】倉紅15,清,上平01東,開一,15
thung,【通】他紅9,透,上平01東,開一,9
cung,【葼】子紅21,精,上平01東,開一,21
bung,【蓬】薄紅10,並,上平01東,開一,10
hung,【烘】呼東6,曉,上平01東,開一,6
ngung,【㟅】五東1,疑,上平01東,開一,1
sung,【檧】蘇公3,心,上平01東,開一,3
tuung,【冬】都宗7,端,上平02冬,合一,7
duung,【彤】徒冬22,定,上平02冬,合一,22
zuung,【賨】藏宗11,從,上平02冬,合一,11
nuung,【農】奴冬12,泥,上平02冬,合一,12
kuung,【攻】古冬2,見,上平02冬,合一,2
ghuung,【䃔】戶冬4,匣,上平02冬,合一,4
luung,【䃧】力冬3,來,上平02冬,合一,3
cuung,【宗】作冬2,精,上平02冬,合一,2
suung,【鬆】私宗2,心,上平02冬,合一,2
