諧聲序,形序,聲-明細,聲形-聲,聲形-形,字類,聲-明細',聲序,聲旁,反切-小韻首字,反切-原貌,反切-周祖謨校,反切-余迺永校,反切-覈校說明,字頭-原貌,字頭-周祖謨校,字頭-余迺永校,字頭-覈校說明,字頭-補,廣韻反切原貌(覈校前),廣韻反切(覈校後),上字,下字,廣韻字頭原貌(覈校前),廣韻字頭(覈校後),廣韻釋義,釋義補充,廣韻字序,切韻擬音(poem版),切韻拼音(poem版),聲紐,呼,等,韻部(調整後),聲調,組,攝,韻部調整說明,廣韻韻部順序,廣韻韻部原貌(調整前),韻部原貌-平上去入相配爲平(調整前),韻部原貌-相配爲平並標A/B類(調整前),小韻-擬音相同(poem版擬音),開合分析(果攝/寒桓/嚴凡/咍灰/遇攝/通攝/臻攝),開合分析(幫組-歌戈/寒桓/唐/泰/咍灰/魂/模/冬/東一),開合分析(幫組-陽/嚴凡/元/廢/鍾/東三/尤/虞/文/微）,A/B類分析(與各組聲紐撘配),中古拼音(polyhedron 版),現代廣州音理論音,粵聲,粵韻,粵調,現代北京音理論音,京聲,京韻,京調,廣韻頁序,頁內字序,小韻序,小韻內字序,全王本切韻-補字,全王本切韻-字數,全王本切韻-反切,裴本切韻-反切,裴本切韻-字序,裴本切韻-字數,裴本切韻-補字,玉篇-原本玉篇殘卷/篆隸萬象名義,玉篇-是否見於原本玉篇殘卷,玉篇-宋本玉篇,經典釋文-拼音(poem版),經典釋文-反切,合併-廣韻,合併-廣韻反切,合併-切韻擬音(poem版),合併-切韻拼音(poem版),合併-中古拼音(polyhedron 版),上字',上字-切韻拼音(poem版),上字-聲紐,上字-呼,上字-等,上字-韻部,上字-聲調,上字-組,上字-攝,下字',下字-切韻拼音(poem版),下字-聲紐,下字-呼,下字-等,下字-韻部,下字-聲調,下字-組,下字-攝,對比-聲紐(上字/被切字),對比-呼(下字/被切字)(不涉及幫組),對比-呼(幫組下字/其他組被切字),對比-等(下字/被切字),對比-韻部(下字/被切字),對比-韻部A/B類(來紐下字/幫見影三組被切字),對比-韻部A/B類(知組下字/幫見影三組被切字),對比韻部A/B類(其他組下字/幫見影三組被切字),上字-切韻擬音(poem版),上字-中古拼音(polyhedron 版),下字-切韻擬音(poem版),下字-中古拼音(polyhedron 版),建議替換爲,是否聲旁,是否次級聲旁,聲形析微,先秦韻部（引自余迺永的《上古音系研究》）,資料引用-其他版本的字頭
16710,450,東,,東,整體,東,833,東,德紅,,,,,,,,,,德紅,德紅,德,紅,東,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,,1,towŋ,tong,端,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,tung,dung1,d,ung,1,dong1,d,ong,1,上平07左,1,1,1,,2,德紅,德紅,1,2加2,,都公,,德紅,,,德紅：春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,德紅,towŋ,tong,tung,德,teok,端,開,一,登,入,端,曾,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,tɤk,tok,ɦowŋ,ghung,,聲旁,次級聲旁,暫擬爲東重聲旁一類而童聲旁在另一類（雖然童爲⿳辛東土，但可能聲旁東是先秦中後期讀音有所演變後新加的）；熏的上方似基於東而內加四點，存疑,東,東
16846,329,同,,凡口,會意,同,837,同,徒紅,,,,,,,,,,徒紅,徒紅,徒,紅,同,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,,18,dowŋ,dong,定,開,一,東,平,端,通,,上平01,東,東,東,,東一>開,,,,dung,tung4,t,ung,4,tong2,t,ong,2,上平08右,14,2,1,,18,徒紅,徒紅,1,16加6,,徒東,,徒東,,,徒紅：齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,徒紅,dowŋ,dong,dung,徒,do,定,開,一,模,平,端,遇,紅,ghong,匣,開,一,東,平,影,通,,,,,,,,,do,do,ɦowŋ,ghung,,聲旁,次級聲旁,,東,同
19509,,中,,中,整體,中,1002,中,陟弓,,,,,,,,,,陟弓,陟弓,陟,弓,中,中,平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四,,63,ʈjowŋ,trjong,知,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,triung,zung1,z,ung,1,zhong1,zh,ong,1,上平08左,22,3,1,,4,陟隆,陟隆,1,3加1,,致隆,,致隆/丁仲/致隆/丁仲/致隆/丁仲,drjongh/trjong/trjongh/0,仲19/如字43/丁仲168/竹仲1/知眾1/貞仲1/張仲8/□仲1/丁□1,陟弓：平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四/陟仲：當也陟仲切又陟沖切二,陟弓/陟仲,ʈjowŋ/ʈjowŋh,trjong/trjongh,triung/triungh,陟,trik,知,開,三,蒸,入,知,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,ʈɨk,trik,kjowŋ,kiung,,聲旁,次級聲旁,,中,中
19427,189,蟲,,虫虫虫,會意,蟲,999,蟲,直弓,,,,,,,,,,直弓,直弓,直,弓,蟲,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七,,67,ɖjowŋ,drjong,澄,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,driung,cung4,c,ung,4,chong2,ch,ong,2,上平08左,26,4,1,,5,直隆,直隆,1,3加4,a2𪔖a3𢝈,除忠,,除中,drjong/dwong/koq,直弓3/直中1/直忠7/直隆1/除中1/徒冬1/古2,直弓：爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七/直眾：蟲食物又音沖或作蚛,直弓/直眾,ɖjowŋ/ɖjowŋh,drjong/drjongh,driung/driungh,直,drik,澄,開,三,蒸,入,知,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,ɖɨk,drik,kjowŋ,kiung,,聲旁,次級聲旁,未知虫是否也有讀蟲之音，暫將此聲旁繫列裏字形衹有一虫者視爲蟲省聲,中,蟲
19468,330,冬,冬,糸,,終,1000,夂,職戎,,,,,,,,,,職戎,職戎,職,戎,終,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,,74,tɕjowŋ,tcjong,章,開,三,東,平,章,通,,上平01,東,東,東,,東三>開,,,,cjung,zung1,z,ung,1,zhong1,zh,ong,1,上平08左,33,5,1,,11,職隆,職隆,1,10加2,a1𧆼a3𤽬,之戎,是,之戎,,,職戎：極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五,職戎,tɕjowŋ,tcjong,cjung,職,tcjik,章,開,三,蒸,入,章,曾,戎,njong,日,開,三,東,平,日,通,,,,,,,,,tɕjɨk,cjik,ȵjowŋ,njung,,,次級聲旁,,,終
19520,37,中,中,心,,忡,1002,中,敕中,,,,,,,,,,敕中,敕中,敕,中,忡,忡,憂也敕中切三,,89,ʈhjowŋ,thrjong,徹,開,三,東,平,知,通,,上平01,東,東,東,,東三>開,,,,thriung,cung1,c,ung,1,chong1,ch,ong,1,上平09右,15,6,1,,2,勑中,勑中,1,1加1,,直忠,,丑中,thrjong,勑中1/勑忠2/恥忠1/敕中1,敕中：憂也敕中切三,敕中,ʈhjowŋ,thrjong,thriung,敕,thrik,徹,開,三,蒸,入,知,曾,中,trjong,知,開,三,東,平,知,通,,,,,,,,,ʈhɨk,thrik,ʈjowŋ,triung,,,次級聲旁,與忠不同,,忡
19559,297,宗,宗,山,,崇,1007,宗,鋤弓,,,,,,,,,,鋤弓,鋤弓,鋤,弓,崇,崇,高也敬也就也聚也又姓鋤弓切四,,92,dʐjowŋ,dzrjong,崇,開,三,東,平,莊,通,,上平01,東,東,東,,東三>開,,,,zriung,sung4,s,ung,4,chong2,ch,ong,2,上平09右,18,7,1,,2,鋤隆,鋤隆,1,4,,仕隆,是,士隆/士隆,,,鋤弓：高也敬也就也聚也又姓鋤弓切四,鋤弓,dʐjowŋ,dzrjong,zriung,鋤,dzrjoo,崇,開,三,魚,平,莊,遇,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,dʐjɔ,zrio,kjowŋ,kiung,,,次級聲旁,,中,崇
16335,297,嵩,,山高,會意,嵩,820,嵩,息弓,,,,,,,,,,息弓,息弓,息,弓,嵩,嵩,山高也又山名又姓史記有嵩極玄子或作崧息弓切九,,96,sjowŋ,sjong,心,開,三,東,平,精,通,,上平01,東,東,東,,東三>開,,,,siung,sung1,s,ung,1,song1,s,ong,1,上平09右,22,8,1,,3,息隆,息隆,1,4,,,是,思融,sjong,夙忠1/息忠1/宿忠1,息弓：山高也又山名又姓史記有嵩極玄子或作崧息弓切九,息弓,sjowŋ,sjong,siung,息,sjik,心,開,三,蒸,入,精,曾,弓,kjong,見,開,三,東,平,見,通,,,,,,,,,sjɨk,sik,kjowŋ,kiung,,聲旁,次級聲旁,,東,嵩
19347,,戎,,毌戈,會意,戎,995,戎,如融,,,,,,,,,,如融,如融,如,融,戎,戎,戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,,105,ȵjowŋ,njong,日,開,三,東,平,日,通,,上平01,東,東,東,,東三>開,,,,njung,yung4,y,ung,4,rong2,r,ong,2,上平09右,31,9,1,,4,如隆,如隆,1,4,,如終,,如終/如終,njong/njoong/njoongq/0,如字2/而融1/而容1/如勇1/如□1,如融：戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九,如融,ȵjowŋ,njong,njung,如,njoo,日,開,三,魚,平,日,遇,融,yjong,以,開,三,東,平,以,通,,,,,,,,,ȵjɔ,njo,jowŋ,jung,,聲旁,次級聲旁,,中,戎
15848,418,弓,,弓,整體,弓,796,弓,居戎,,,,,,,,,,居戎,居戎,居,戎,弓,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,,114,kjowŋ,kjong,見,開,三,東,平,見,通,,上平01,東,東,東,,東三>開,,,,kiung,gung1,g,ung,1,gong1,g,ong,1,上平09右,40,10,1,,4,居隆,居隆,1,4,,居雄,,居雄,,,居戎：弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六,居戎,kjowŋ,kjong,kiung,居,kjoo,見,開,三,魚,平,見,遇,戎,njong,日,開,三,東,平,日,通,,,,,,,,,kjɔ,kio,ȵjowŋ,njung,,聲旁,次級聲旁,弘聲旁爲複聲（弓厷都爲聲旁，兩者音韻地位在一起）；躬窮聲旁爲替換躳竆的聲旁爲弓之後得到的字形，音韻地位應與躳竆同）；擬爲kw-類,蒸,弓
