Id,Label,initial,rhyme,deng_hu,char_num,,,
tung,【東】德紅,端,上平01東,開一,17,,,
dung,【同】徒紅,定,上平01東,開一,45,,,
triung,【中】陟弓,知,上平01東,開三,4,,,
driung,【蟲】直弓,澄,上平01東,開三,7,,,
cjung,【終】職戎,章,上平01東,開三,15,,,
thriung,【忡】敕中,徹,上平01東,開三,3,,,
zriung,【崇】鋤弓,崇,上平01東,開三,4,,,
siung,【嵩】息弓,心,上平01東,開三,9,,,
njung,【戎】如融,日,上平01東,開三,9,,,
kiung,【弓】居戎,見,上平01東,開三,6,,,
jung,【融】以戎,以,上平01東,開三,3,,,
iung,【雄】羽弓,云,上平01東,開三,2,,,
miung,【瞢】莫中,明,上平01東,合三,6,,,
khiung,【穹】去宮,溪,上平01東,開三,7,,,
giung,【窮】渠弓,群,上平01東,開三,3,,,
biung,【馮】房戎,並,上平01東,合三,7,,,
piung,【風】方戎,幫,上平01東,合三,7,,,
phiung,【豐】敷空,滂,上平01東,合三,8,,,
chjung,【充】昌終,昌,上平01東,開三,7,,,
liung,【隆】力中,來,上平01東,開三,6,,,
khung,【空】苦紅,溪,上平01東,開一,14,,,
kung,【公】古紅,見,上平01東,開一,13,,,
mung,【蒙】莫紅,明,上平01東,開一,27,,,
lung,【籠】盧紅,來,上平01東,開一,27,,,
ghung,【洪】戶公,匣,上平01東,開一,21,,,
zung,【叢】徂紅,從,上平01東,開一,5,,,
qung,【翁】烏紅,影,上平01東,開一,8,,,
chung,【怱】倉紅,清,上平01東,開一,15,,,
thung,【通】他紅,透,上平01東,開一,9,,,
cung,【葼】子紅,精,上平01東,開一,21,,,
bung,【蓬】薄紅,並,上平01東,開一,10,,,
hung,【烘】呼東,曉,上平01東,開一,6,,,
ngung,【?】五東,疑,上平01東,開一,1,,,
sung,【檧】蘇公,心,上平01東,開一,3,,,
tuung,【冬】都宗,端,上平02冬,合一,7,,,
duung,【彤】徒冬,定,上平02冬,合一,22,,,
zuung,【賨】藏宗,從,上平02冬,合一,11,,,
nuung,【農】奴冬,泥,上平02冬,合一,12,,,
kuung,【攻】古冬,見,上平02冬,合一,2,,,
ghuung,【?】戶冬,匣,上平02冬,合一,4,,,
luung,【?】力冬,來,上平02冬,合一,3,,,
